City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
48,Bud,US,2022-09-21 18:47:03,39.447,-86.1758,93.9,53,7,14.29
49,Arraial Do Cabo,BR,2022-09-21 18:42:21,-22.9661,-42.0278,73.36,78,0,10.36
50,Salalah,OM,2022-09-21 18:47:03,17.0151,54.0924,80.69,83,75,8.05
51,Hambantota,LK,2022-09-21 18:47:03,6.1241,81.1185,79.14,89,0,8.05
52,Payo,ID,2022-09-21 18:47:04,-3.7508,103.6372,72.37,94,79,1.83
53,Iskateley,RU,2022-09-21 18:47:04,67.6803,53.1512,37.26,77,66,16.17
54,Avarua,CK,2022-09-21 18:47:05,-21.2078,-159.775,75.25,73,75,14.97
55,Flinders,AU,2022-09-21 18:47:05,-34.5833,150.8552,62.19,88,100,5.99
56,Basco,PH,2022-09-21 18:47:06,20.4487,121.9702,80.76,76,100,21.54
57,Salamiyah,SY,2022-09-21 18:47:06,35.0113,37.0532,70.45,71,0,16.4
58,Hami,CN,2022-09-21 18:47:06,42.8,93.45,67.68,14,0,4.97
59,Denpasar,ID,2022-09-21 18:44:37,-8.65,115.2167,80.26,83,40,13.8
60,Nome,US,2022-09-21 18:47:07,64.5011,-165.4064,44.67,77,100,25.32
61,Barrow,US,2022-09-21 18:47:07,71.2906,-156.7887,35.62,100,100,10.36
62,New Norfolk,AU,2022-09-21 18:47:07,-42.7826,147.0587,51.91,74,30,2.75
63,Hithadhoo,MV,2022-09-21 18:47:08,-0.6,73.0833,81.63,73,15,5.35
64,Provideniya,RU,2022-09-21 18:47:08,64.3833,-173.3,41.31,97,100,15.77
65,Ponta Do Sol,PT,2022-09-21 18:47:08,32.6667,-17.1,75.83,84,34,6.06
66,Viedma,AR,2022-09-21 18:47:09,-40.8135,-62.9967,47.23,75,100,14.43
67,Necochea,AR,2022-09-21 18:47:09,-38.5473,-58.7368,57.58,50,66,9.91
68,Mahebourg,MU,2022-09-21 18:47:10,-20.4081,57.7,72.25,88,75,12.66
69,Half Moon Bay,US,2022-09-21 18:47:10,37.4636,-122.4286,73.18,82,100,11.5
70,Klaksvik,FO,2022-09-21 18:47:11,62.2266,-6.589,52.72,96,100,24.92
71,Ugoofaaru,MV,2022-09-21 18:47:11,5.6667,73.0,81.81,73,36,8.14
72,Tacoronte,ES,2022-09-21 18:47:12,28.4769,-16.4102,71.17,74,20,3.44
73,Hermanus,ZA,2022-09-21 18:47:12,-34.4187,19.2345,53.8,78,6,2.19
74,Shubarshi,KZ,2022-09-21 18:47:12,48.5872,57.1869,68.09,14,0,7.0
75,Ostersund,SE,2022-09-21 18:47:13,63.1792,14.6357,52.25,54,75,3.44
76,Kangaatsiaq,GL,2022-09-21 18:47:13,68.3065,-53.4641,35.37,99,100,11.1
77,Vila,PT,2022-09-21 18:47:14,42.0304,-8.1588,61.68,57,0,2.28
78,Stornoway,GB,2022-09-21 18:47:14,58.2093,-6.3865,57.92,93,75,23.02
79,Lazaro Cardenas,MX,2022-09-21 18:46:50,17.9583,-102.2,82.87,74,98,7.34
80,Cockburn Town,TC,2022-09-21 18:47:14,21.4612,-71.1419,83.05,81,100,23.0
81,Ambulu,ID,2022-09-21 18:47:15,-8.345,113.6058,74.95,91,60,4.47
82,Sitka,US,2022-09-21 18:47:15,57.0531,-135.33,57.09,88,75,0.0
83,Guerrero Negro,MX,2022-09-21 18:46:19,27.9769,-114.0611,80.56,56,14,9.57
84,Prince Albert,CA,2022-09-21 18:45:55,53.2001,-105.7677,57.15,54,20,8.05
85,Lagoa,PT,2022-09-21 18:47:16,39.05,-27.9833,73.94,81,49,11.05
86,San Carlos De Bariloche,AR,2022-09-21 18:47:16,-41.1456,-71.3082,46.15,46,40,28.77
87,Rybinsk,RU,2022-09-21 18:47:16,58.0446,38.8426,49.77,77,100,6.2
88,Jacareacanga,BR,2022-09-21 18:47:17,-6.2222,-57.7528,104.65,17,84,3.29
89,Nikolskoye,RU,2022-09-21 18:47:17,59.7035,30.7861,49.89,97,21,4.36
